,1a,2a,3a,4a,3b
2005-01-04,6.1075,6.1038,6.2483,6.2409,22.9877
2005-01-05,6.2406,6.2093,6.2808,6.2326,23.0171
2005-01-06,6.2318,6.2272,6.2808,6.2612,23.1136
2005-01-07,6.2615,6.209,6.3168,6.2717,23.3104
2005-01-08,6.2615,6.209,6.3168,6.2717,23.3104
2005-01-09,6.2615,6.209,6.3168,6.2717,23.3104
2005-01-10,6.2714,6.258,6.2993,6.2601,23.235
2005-01-11,6.2603,6.2235,6.2663,6.2484,23.1216
2005-01-12,6.2486,6.1643,6.2703,6.1793,23.2714
2005-01-13,6.1797,6.1724,6.2431,6.2364,23.209
2005-01-14,6.2366,6.2185,6.2635,6.2451,23.3054
2005-01-15,6.2366,6.2185,6.2635,6.2451,23.3054
2005-01-16,6.2366,6.2185,6.2635,6.2451,23.3054
2005-01-17,6.2449,6.2424,6.2987,6.2849,23.3077
2005-01-18,6.2851,6.2392,6.2921,6.2645,23.3715
2005-01-19,6.2643,6.2111,6.2974,6.2819,23.3509
2005-01-20,6.2815,6.2681,6.3361,6.3256,23.4814
2005-01-21,6.3258,6.2768,6.3439,6.2878,23.4396
2005-01-22,6.3258,6.2768,6.3439,6.2878,23.4396
2005-01-23,6.3258,6.2768,6.3439,6.2878,23.4396
2005-01-24,6.2873,6.2571,6.3093,6.3012,23.2068
2005-01-25,6.3009,6.2694,6.3408,6.3281,23.2292
2005-01-26,6.3283,6.2954,6.3469,6.3086,23.192
2005-01-27,6.3088,6.2928,6.3461,6.3283,23.2117
2005-01-28,6.3285,6.3112,6.361,6.3364,23.2502
2005-01-29,6.3285,6.3112,6.361,6.3364,23.2502
2005-01-30,6.3285,6.3112,6.361,6.3364,23.2502
2005-01-31,6.3367,6.3231,6.367,6.354,23.2649
2005-02-01,6.3542,6.3208,6.376,6.3254,23.1156
2005-02-02,6.3256,6.3113,6.345,6.3376,23.0591
2005-02-03,6.3374,6.3313,6.3954,6.3897,23.2065
2005-02-04,6.3899,6.3522,6.4595,6.4587,23.5108
2005-02-05,6.3899,6.3522,6.4595,6.4587,23.5108
2005-02-06,6.3899,6.3522,6.4595,6.4587,23.5108
2005-02-07,6.4584,6.4437,6.5681,6.5473,23.4215
2005-02-08,6.5476,6.5216,6.5945,6.5675,23.5444
2005-02-09,6.5673,6.524,6.5693,6.541,23.5147
2005-02-10,6.5407,6.5205,6.6262,6.5429,23.5364
2005-02-11,6.5433,6.5098,6.5616,6.5259,23.4253
2005-02-12,6.5433,6.5098,6.5616,6.5259,23.4253
2005-02-13,6.5433,6.5098,6.5616,6.5259,23.4253
2005-02-14,6.5261,6.4668,6.5283,6.4791,23.2695
2005-02-15,6.4789,6.4154,6.4806,6.4238,23.2343
2005-02-16,6.4243,6.3959,6.4526,6.4044,23.2029
2005-02-17,6.4047,6.356,6.4283,6.3608,23.0765
2005-02-18,6.3608,6.33,6.3692,6.3442,22.9751
2005-02-19,6.3608,6.33,6.3692,6.3442,22.9751
2005-02-20,6.3608,6.33,6.3692,6.3442,22.9751
2005-02-21,6.3445,6.2818,6.3569,6.2855,22.9366
2005-02-22,6.286,6.2245,6.2867,6.2408,22.7282
2005-02-23,6.2406,6.2208,6.2592,6.2251,22.6978
2005-02-24,6.225,6.2051,6.2614,6.2384,22.6425
2005-02-25,6.2386,6.2136,6.2856,6.2181,22.6798
2005-02-26,6.2386,6.2136,6.2856,6.2181,22.6798
2005-02-27,6.2386,6.2136,6.2856,6.2181,22.6798
2005-02-28,6.2186,6.1895,6.2426,6.2308,22.5227
2005-03-01,6.2306,6.1972,6.242,6.2218,22.5222
2005-03-02,6.222,6.2173,6.2714,6.2437,22.6312
2005-03-03,6.2439,6.2348,6.273,6.2677,22.6004
2005-03-04,6.2679,6.2049,6.2847,6.2265,22.6592
2005-03-05,6.2679,6.2049,6.2847,6.2265,22.6592
2005-03-06,6.2679,6.2049,6.2847,6.2265,22.6592
2005-03-07,6.2263,6.194,6.2334,6.196,22.4008
2005-03-08,6.1956,6.1254,6.2011,6.1313,22.3376
2005-03-09,6.1318,6.0879,6.1484,6.1009,22.0154
2005-03-10,6.1012,6.0751,6.1109,6.085,22.0142
2005-03-11,6.0853,6.0548,6.1015,6.0673,22.0548
2005-03-12,6.0853,6.0548,6.1015,6.0673,22.0548
2005-03-13,6.0853,6.0548,6.1015,6.0673,22.0548
2005-03-14,6.0666,6.0657,6.1255,6.1112,22.1876
2005-03-15,6.1112,6.1015,6.1515,6.1389,22.4462
2005-03-16,6.1387,6.0785,6.1405,6.0859,22.5265
2005-03-17,6.0856,6.0641,6.1041,6.0861,22.4616
2005-03-18,6.0864,6.0861,6.1372,6.133,22.447
2005-03-19,6.0864,6.0861,6.1372,6.133,22.447
2005-03-20,6.0864,6.0861,6.1372,6.133,22.447
2005-03-21,6.1327,6.1245,6.2017,6.199,22.9144
2005-03-22,6.1997,6.1802,6.261,6.2458,22.9926
2005-03-23,6.246,6.2444,6.3191,6.3069,23.234
2005-03-24,6.3074,6.2886,6.3427,6.3343,23.2761
2005-03-25,6.3346,6.3226,6.3656,6.3516,23.3483
2005-03-26,6.3346,6.3226,6.3656,6.3516,23.3483
2005-03-27,6.3346,6.3226,6.3656,6.3516,23.3483
2005-03-28,6.3519,6.3377,6.3996,6.3458,23.4187
2005-03-29,6.3456,6.3275,6.3685,6.3349,23.4173
2005-03-30,6.3352,6.3015,6.3376,6.3336,23.3081
2005-03-31,6.3338,6.3003,6.35,6.3372,23.2526
2005-04-01,6.3364,6.2718,6.3653,6.3487,23.305
2005-04-02,6.3364,6.2718,6.3653,6.3487,23.305
2005-04-03,6.3364,6.2718,6.3653,6.3487,23.305
2005-04-04,6.3482,6.3476,6.3886,6.3797,23.4379
2005-04-05,6.3799,6.3316,6.3859,6.3379,23.4412
2005-04-06,6.3377,6.3186,6.361,6.3404,23.3287
2005-04-07,6.3399,6.3058,6.3722,6.3678,23.3688
2005-04-08,6.3678,6.3218,6.3824,6.3366,23.3817
2005-04-09,6.3678,6.3218,6.3824,6.3366,23.3817
2005-04-10,6.3678,6.3218,6.3824,6.3366,23.3817
2005-04-11,6.3364,6.2942,6.3386,6.3146,23.1623
2005-04-12,6.3143,6.2802,6.3573,6.3401,23.2926
